,H_goal_diff,A_goal_diff,H_win,A_win,H_win_against,A_win_against
3331,-1.0,-8.0,8.0,6.0,1.0,0.0
3332,-19.0,-15.0,3.0,5.0,0.0,1.0
3333,11.0,30.0,13.0,12.0,0.0,0.0
3334,-5.0,-21.0,5.0,3.0,0.0,1.0
3335,-9.0,-7.0,4.0,7.0,1.0,1.0
3336,3.0,-7.0,9.0,7.0,2.0,0.0
3337,17.0,-3.0,11.0,6.0,1.0,2.0
3338,-5.0,16.0,8.0,14.0,0.0,2.0
3339,-14.0,42.0,3.0,15.0,0.0,2.0
3340,-5.0,-16.0,6.0,2.0,1.0,2.0
3341,-26.0,-4.0,3.0,6.0,1.0,0.0
3342,30.0,-9.0,14.0,6.0,2.0,0.0
3343,-17.0,-5.0,4.0,7.0,0.0,2.0
3344,-5.0,0.0,5.0,6.0,0.0,1.0
3345,-1.0,33.0,7.0,14.0,1.0,2.0
3346,-4.0,39.0,8.0,17.0,1.0,0.0
3347,20.0,-13.0,14.0,5.0,2.0,0.0
3348,-14.0,-25.0,4.0,3.0,0.0,1.0
3349,-12.0,-8.0,6.0,6.0,1.0,0.0
3350,-16.0,-10.0,2.0,4.0,2.0,0.0
3351,-3.0,-2.0,6.0,4.0,1.0,2.0
3352,17.0,-25.0,12.0,4.0,2.0,1.0
3353,22.0,20.0,12.0,11.0,2.0,1.0
3354,3.0,1.0,9.0,8.0,1.0,1.0
3355,-6.0,-20.0,7.0,3.0,1.0,1.0
3356,-10.0,31.0,6.0,14.0,0.0,2.0
3357,-4.0,-6.0,5.0,5.0,3.0,0.0
3358,37.0,16.0,16.0,13.0,2.0,0.0
3359,-15.0,17.0,3.0,12.0,0.0,3.0
3360,-15.0,-15.0,5.0,3.0,1.0,2.0
3361,-8.0,-17.0,5.0,5.0,1.0,2.0
3362,18.0,-15.0,10.0,3.0,2.0,0.0
3363,10.0,2.0,11.0,8.0,2.0,1.0
3364,-8.0,3.0,5.0,7.0,1.0,2.0
3365,-6.0,-5.0,6.0,7.0,0.0,1.0
3366,-21.0,-18.0,3.0,4.0,1.0,0.0
3367,31.0,-6.0,14.0,7.0,2.0,0.0
3368,-14.0,14.0,3.0,10.0,0.0,3.0
3369,-14.0,-3.0,5.0,8.0,1.0,1.0
3370,11.0,37.0,10.0,17.0,1.0,1.0
3371,21.0,-17.0,14.0,2.0,2.0,0.0
3372,-14.0,17.0,4.0,11.0,0.0,3.0
3373,1.0,-17.0,7.0,4.0,1.0,1.0
3374,-6.0,11.0,7.0,10.0,0.0,1.0
3375,-8.0,18.0,7.0,13.0,0.0,2.0
3376,-8.0,15.0,5.0,11.0,1.0,1.0
3377,4.0,-12.0,7.0,3.0,2.0,1.0
3378,-17.0,-5.0,4.0,7.0,0.0,2.0
3379,-13.0,31.0,3.0,14.0,0.0,2.0
3380,15.0,3.0,10.0,7.0,1.0,0.0
3381,38.0,-13.0,17.0,5.0,3.0,0.0
3382,-18.0,-9.0,3.0,5.0,1.0,2.0
3383,-7.0,-12.0,7.0,5.0,3.0,0.0
3384,-8.0,-4.0,5.0,7.0,0.0,0.0
3385,-2.0,4.0,7.0,7.0,1.0,1.0
3386,-19.0,-7.0,4.0,7.0,0.0,1.0
3387,30.0,-19.0,13.0,2.0,3.0,0.0
3388,-10.0,-9.0,5.0,3.0,1.0,1.0
3389,-15.0,-9.0,2.0,7.0,1.0,0.0
3390,-17.0,15.0,5.0,11.0,0.0,2.0
3391,17.0,16.0,13.0,10.0,1.0,1.0
3392,0.0,42.0,7.0,17.0,0.0,3.0
3393,13.0,-16.0,10.0,4.0,1.0,1.0
3394,-9.0,23.0,5.0,15.0,0.0,1.0
